id,faculty_name,lecture_name,register,passed
10021,文学部,イタリア語学イタリア文学(講読),"{16,10,9,4,9}","{14,9,7,4,9}"
10022,文学部,イタリア語学イタリア文学(特殊講義),"{11,16,12,3,5}","{9,14,12,2,3}"
10023,文学部,イラン語(初級),"{6,4,8,6,5}","{3,3,6,4,3}"
10024,文学部,インドネシア語I(初級),"{13,14,7,7,4}","{10,11,4,6,3}"
10025,文学部,インドネシア語II(初級),"{7,11,3,5,3}","{6,10,1,5,3}"
10026,文学部,インド古典学(講読),"{1,6,6,9,5}","{0,6,4,8,4}"
10027,文学部,インド古典学(特殊講義),"{15,10,16,6,8}","{10,10,7,4,7}"
10028,文学部,インド哲学史(講義),"{9,7,5,9,42}","{8,6,2,9,33}"
10029,文学部,オランダ語(初級),"{11,14,19,13,15}","{8,12,15,10,8}"
10030,文学部,オランダ語(中級),"{3,2,8,6,7}","{3,2,8,6,7}"
10031,文学部,ギリシア語(4時間コース),"{6,12,4,7,10}","{4,2,1,1,4}"
10032,文学部,ギリシア語(初級I),"{25,21,NULL,NULL,NULL}","{17,11,NULL,NULL,NULL}"
10033,文学部,ギリシア語(初級II),"{12,7,NULL,NULL,NULL}","{7,6,NULL,NULL,NULL}"
10034,文学部,キリスト教学(演習),"{11,16,19,9,7}","{9,15,17,8,5}"
10035,文学部,キリスト教学(講義),"{135,209,290,246,276}","{92,133,223,192,213}"
10036,文学部,キリスト教学(特殊講義),"{41,78,97,57,71}","{26,37,55,23,37}"
10037,文学部,サンスクリット(2時間コース),"{7,6,10,9,17}","{5,0,9,7,12}"
10038,文学部,サンスクリット(4時間コース),"{1,3,3,3,1}","{1,3,2,3,0}"
10039,文学部,サンスクリット語学サンスクリット文学(講義),"{42,45,46,45,47}","{29,30,27,31,35}"
10040,文学部,シュメール語(初級),"{14,26,22,19,19}","{4,9,12,8,11}"
10041,文学部,スペイン語(初級)I,"{9,NULL,NULL,NULL,NULL}","{7,NULL,NULL,NULL,NULL}"
